date,option_name,underlying_name,close,fclose,strike,expiry,iv,option_type,timeframe
2025-11-07 09:15:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.9000,25679.8000,26050,2025-12-02 15:15:00,8.9161,c,1
2025-11-07 09:16:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.9000,25670.1000,26050,2025-12-02 15:15:00,9.0343,c,1
2025-11-07 09:17:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.9000,25678.4000,26050,2025-12-02 15:15:00,8.9334,c,1
2025-11-07 09:18:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,109.0000,25676.3000,26050,2025-12-02 15:15:00,9.3634,c,1
2025-11-07 09:19:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,108.7000,25678.0000,26050,2025-12-02 15:15:00,9.3292,c,1
2025-11-07 09:20:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,104.3500,25659.0000,26050,2025-12-02 15:15:00,9.3695,c,1
2025-11-07 09:21:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,103.0000,25660.6000,26050,2025-12-02 15:15:00,9.2896,c,1
2025-11-07 09:22:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,103.0000,25627.7000,26050,2025-12-02 15:15:00,9.6871,c,1
2025-11-07 09:23:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,103.0000,25627.0000,26050,2025-12-02 15:15:00,9.6957,c,1
2025-11-07 09:24:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,103.0000,25633.9000,26050,2025-12-02 15:15:00,9.6129,c,1
2025-11-07 09:25:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,103.0000,25643.0000,26050,2025-12-02 15:15:00,9.5034,c,1
2025-11-07 09:26:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,102.0500,25635.0000,26050,2025-12-02 15:15:00,9.5567,c,1
2025-11-07 09:27:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,102.0500,25646.9000,26050,2025-12-02 15:15:00,9.4135,c,1
2025-11-07 09:28:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,102.0500,25652.0000,26050,2025-12-02 15:15:00,9.3520,c,1
2025-11-07 09:29:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,102.0500,25650.0000,26050,2025-12-02 15:15:00,9.3763,c,1
2025-11-07 09:30:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,100.0000,25632.0000,26050,2025-12-02 15:15:00,9.4995,c,1
2025-11-07 09:31:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,100.0000,25643.8000,26050,2025-12-02 15:15:00,9.3583,c,1
2025-11-07 09:32:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,100.0000,25631.0000,26050,2025-12-02 15:15:00,9.5117,c,1
2025-11-07 09:33:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,100.0000,25630.3000,26050,2025-12-02 15:15:00,9.5202,c,1
2025-11-07 09:34:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,100.0000,25619.0000,26050,2025-12-02 15:15:00,9.6550,c,1
2025-11-07 09:35:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,100.0000,25619.0000,26050,2025-12-02 15:15:00,9.6551,c,1
2025-11-07 09:36:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,100.0000,25619.9000,26050,2025-12-02 15:15:00,9.6446,c,1
2025-11-07 09:37:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,100.0000,25622.1000,26050,2025-12-02 15:15:00,9.6185,c,1
2025-11-07 09:38:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.5500,25633.3000,26050,2025-12-02 15:15:00,9.4644,c,1
2025-11-07 09:39:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.5500,25638.0000,26050,2025-12-02 15:15:00,9.4083,c,1
2025-11-07 09:40:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.5500,25645.0000,26050,2025-12-02 15:15:00,9.3245,c,1
2025-11-07 09:41:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.5500,25640.9000,26050,2025-12-02 15:15:00,9.3738,c,1
2025-11-07 09:42:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.5500,25640.0000,26050,2025-12-02 15:15:00,9.3847,c,1
2025-11-07 09:43:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.5500,25636.3000,26050,2025-12-02 15:15:00,9.4292,c,1
2025-11-07 09:44:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.5500,25648.8000,26050,2025-12-02 15:15:00,9.2793,c,1
2025-11-07 09:45:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.5500,25640.4000,26050,2025-12-02 15:15:00,9.3803,c,1
2025-11-07 09:46:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.5500,25650.0000,26050,2025-12-02 15:15:00,9.2652,c,1
2025-11-07 09:47:00,NSE:NIFTY25D0226050CE,NSE:NIFTY25DECFUT,99.5500,25667.6000,26050,2025-12-02 15:15:00,9.0527,c,1
