date,option_name,underlying_name,close,fclose,strike,expiry,iv,option_type,timeframe
2025-11-07 09:15:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,260.6500,25679.8000,26050,2025-12-02 15:15:00,15.5496,c,1
2025-11-07 09:16:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,260.6500,25670.1000,26050,2025-12-02 15:15:00,15.6905,c,1
2025-11-07 09:17:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,258.4000,25678.4000,26050,2025-12-02 15:15:00,15.4815,c,1
2025-11-07 09:18:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,259.7500,25676.3000,26050,2025-12-02 15:15:00,15.5655,c,1
2025-11-07 09:19:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,259.7500,25678.0000,26050,2025-12-02 15:15:00,15.5411,c,1
2025-11-07 09:20:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,259.7500,25659.0000,26050,2025-12-02 15:15:00,15.8161,c,1
2025-11-07 09:21:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,259.7500,25660.6000,26050,2025-12-02 15:15:00,15.7932,c,1
2025-11-07 09:22:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,259.7500,25627.7000,26050,2025-12-02 15:15:00,16.2652,c,1
2025-11-07 09:23:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,259.7500,25627.0000,26050,2025-12-02 15:15:00,16.2754,c,1
2025-11-07 09:24:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,259.7500,25633.9000,26050,2025-12-02 15:15:00,16.1771,c,1
2025-11-07 09:25:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,259.7500,25643.0000,26050,2025-12-02 15:15:00,16.0471,c,1
2025-11-07 09:26:00,NSE:NIFTY25DEC26050CE,NSE:NIFTY25DECFUT,249.3500,25635.0000,26050,2025-12-02 15:15:00,15.7461,c,1
