date,option_name,underlying_name,close,fclose,strike,expiry,iv,option_type,timeframe
2025-10-27 10:15:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,745.0000,26036.0000,25500,2025-11-18 15:15:00,10.6971,c,1
2025-10-27 10:16:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,743.8500,26037.5000,25500,2025-11-18 15:15:00,10.5346,c,1
2025-10-27 10:17:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,743.8500,26040.5000,25500,2025-11-18 15:15:00,10.3591,c,1
2025-10-27 10:18:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,743.0000,26040.0000,25500,2025-11-18 15:15:00,10.3304,c,1
2025-10-27 10:19:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,743.0000,26042.0000,25500,2025-11-18 15:15:00,10.2102,c,1
2025-10-27 10:20:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,743.0000,26043.0000,25500,2025-11-18 15:15:00,10.1494,c,1
2025-10-27 10:21:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,746.7000,26045.0000,25500,2025-11-18 15:15:00,10.2898,c,1
2025-10-27 10:22:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,748.3000,26037.0000,25500,2025-11-18 15:15:00,10.8621,c,1
2025-10-27 10:23:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,748.3000,26038.4000,25500,2025-11-18 15:15:00,10.7844,c,1
2025-10-27 10:24:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,748.3000,26046.3000,25500,2025-11-18 15:15:00,10.3249,c,1
2025-10-27 10:25:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,747.4000,26043.1000,25500,2025-11-18 15:15:00,10.4540,c,1
2025-10-27 10:26:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,747.4000,26040.0000,25500,2025-11-18 15:15:00,10.6349,c,1
2025-10-27 10:27:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,741.8000,26036.0000,25500,2025-11-18 15:15:00,10.4872,c,1
2025-10-27 10:28:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,741.8000,26033.0000,25500,2025-11-18 15:15:00,10.6593,c,1
2025-10-27 10:29:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,742.1000,26038.5000,25500,2025-11-18 15:15:00,10.3621,c,1
2025-10-27 10:30:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,739.1000,26031.9000,25500,2025-11-18 15:15:00,10.5422,c,1
2025-10-27 10:31:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,739.1000,26030.5000,25500,2025-11-18 15:15:00,10.6222,c,1
2025-10-27 10:32:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,739.1000,26023.6000,25500,2025-11-18 15:15:00,11.0009,c,1
2025-10-27 10:33:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,739.1000,26036.0000,25500,2025-11-18 15:15:00,10.3046,c,1
2025-10-27 10:34:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,739.1000,26033.0000,25500,2025-11-18 15:15:00,10.4808,c,1
2025-10-27 10:35:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,739.1000,26030.7000,25500,2025-11-18 15:15:00,10.6127,c,1
2025-10-27 10:36:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,737.0000,26013.8000,25500,2025-11-18 15:15:00,11.3795,c,1
2025-10-27 10:37:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,730.7000,26020.0000,25500,2025-11-18 15:15:00,10.6571,c,1
2025-10-27 10:38:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,730.7000,26016.4000,25500,2025-11-18 15:15:00,10.8530,c,1
2025-10-27 10:39:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,730.7000,26025.0000,25500,2025-11-18 15:15:00,10.3762,c,1
2025-10-27 10:40:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,730.7000,26023.1000,25500,2025-11-18 15:15:00,10.4852,c,1
2025-10-27 10:41:00,NSE:NIFTY25N1825500CE,NSE:NIFTY25NOVFUT,730.7000,26028.0000,25500,2025-11-18 15:15:00,10.2017,c,1
