date,option_name,underlying_name,close,fclose,strike,expiry,iv,option_type,timeframe
2025-11-07 09:15:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,77.5000,25491.7000,26000,2025-11-25 15:15:00,11.1277,c,1
2025-11-07 09:16:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,76.1500,25489.3000,26000,2025-11-25 15:15:00,11.0778,c,1
2025-11-07 09:17:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,76.4500,25492.2000,26000,2025-11-25 15:15:00,11.0586,c,1
2025-11-07 09:18:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,77.7000,25493.4000,26000,2025-11-25 15:15:00,11.1183,c,1
2025-11-07 09:19:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,76.8000,25493.5000,26000,2025-11-25 15:15:00,11.0632,c,1
2025-11-07 09:20:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,73.9000,25474.2000,26000,2025-11-25 15:15:00,11.1358,c,1
2025-11-07 09:21:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,72.7500,25474.7000,26000,2025-11-25 15:15:00,11.0590,c,1
2025-11-07 09:22:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,68.9500,25437.8000,26000,2025-11-25 15:15:00,11.2865,c,1
2025-11-07 09:23:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,68.9000,25445.4000,26000,2025-11-25 15:15:00,11.1886,c,1
2025-11-07 09:24:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,68.8500,25446.6000,26000,2025-11-25 15:15:00,11.1706,c,1
2025-11-07 09:25:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,70.3000,25460.0000,26000,2025-11-25 15:15:00,11.0940,c,1
2025-11-07 09:26:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,70.2000,25450.5000,26000,2025-11-25 15:15:00,11.2075,c,1
2025-11-07 09:27:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,70.8000,25458.4000,26000,2025-11-25 15:15:00,11.1460,c,1
2025-11-07 09:28:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,71.0000,25466.6000,26000,2025-11-25 15:15:00,11.0550,c,1
2025-11-07 09:29:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,71.2000,25463.9000,26000,2025-11-25 15:15:00,11.1019,c,1
2025-11-07 09:30:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,69.6000,25449.9000,26000,2025-11-25 15:15:00,11.1781,c,1
2025-11-07 09:31:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,69.6000,25464.6000,26000,2025-11-25 15:15:00,10.9935,c,1
2025-11-07 09:32:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,68.0000,25446.0000,26000,2025-11-25 15:15:00,11.1257,c,1
2025-11-07 09:33:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,67.4000,25449.0000,26000,2025-11-25 15:15:00,11.0503,c,1
2025-11-07 09:34:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,65.4500,25430.0000,26000,2025-11-25 15:15:00,11.1604,c,1
2025-11-07 09:35:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,65.7000,25434.5000,26000,2025-11-25 15:15:00,11.1213,c,1
2025-11-07 09:36:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,65.7500,25440.0000,26000,2025-11-25 15:15:00,11.0567,c,1
2025-11-07 09:37:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,66.2500,25444.5000,26000,2025-11-25 15:15:00,11.0334,c,1
2025-11-07 09:38:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,67.1500,25449.5000,26000,2025-11-25 15:15:00,11.0291,c,1
2025-11-07 09:39:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,67.4500,25450.9000,26000,2025-11-25 15:15:00,11.0310,c,1
2025-11-07 09:40:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,68.5500,25462.3000,26000,2025-11-25 15:15:00,10.9583,c,1
2025-11-07 09:41:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,67.1500,25452.9000,26000,2025-11-25 15:15:00,10.9873,c,1
2025-11-07 09:42:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,67.2500,25451.0000,26000,2025-11-25 15:15:00,11.0176,c,1
2025-11-07 09:43:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,67.8000,25456.4000,26000,2025-11-25 15:15:00,10.9854,c,1
2025-11-07 09:44:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,68.4500,25462.7000,26000,2025-11-25 15:15:00,10.9478,c,1
2025-11-07 09:45:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,68.6000,25454.7000,26000,2025-11-25 15:15:00,11.0578,c,1
2025-11-07 09:46:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,69.6500,25468.0000,26000,2025-11-25 15:15:00,10.9568,c,1
2025-11-07 09:47:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,71.8000,25485.0000,26000,2025-11-25 15:15:00,10.8746,c,1
2025-11-07 09:48:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,70.6000,25475.0000,26000,2025-11-25 15:15:00,10.9279,c,1
2025-11-07 09:49:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,71.5500,25489.8000,26000,2025-11-25 15:15:00,10.7984,c,1
2025-11-07 09:50:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,71.9000,25488.0000,26000,2025-11-25 15:15:00,10.8431,c,1
2025-11-07 09:51:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,69.8000,25471.0000,26000,2025-11-25 15:15:00,10.9294,c,1
2025-11-07 09:52:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,68.1500,25466.0000,26000,2025-11-25 15:15:00,10.8891,c,1
2025-11-07 09:53:00,NSE:NIFTY25NOV26000CE,NSE:NIFTY25NOVFUT,68.1000,25463.0000,26000,2025-11-25 15:15:00,10.9238,c,1
